step,no_optimization,TF32,BF16,BF16+TC,BF16+TC+FA,BF16+TC+FA+FuOp,BF16+TC+FA+8bOp
0,2150.73,2274.26,2288.54,66157.71,29797.64,19272.02,17344.06
1,218.61,206.37,144.93,858.21,750.03,870.19,619.07
2,220.69,188.59,139.19,106.87,87.37,200.28,114.5
3,220.23,176.12,130.48,104.71,86.46,97.95,103.64
4,219.68,175.44,130.11,104.77,86.85,95.48,85.63
5,220.77,175.23,131.52,105.25,86.7,82.89,84.37
6,221.18,175.12,132.04,104.46,86.91,83.85,89.17
7,220.04,175.05,130.93,105.01,88.08,82.83,86.7
8,220.78,175.31,130.79,104.6,87.72,83.56,88.47
9,221.89,175.55,131.01,105.01,86.58,83.05,86.59
10,229.35,177.07,130.58,104.85,87.26,83.35,85.61
11,221.84,175.85,130.9,104.22,87.82,83.77,85.21
12,220.37,175.82,130.38,104.96,87.06,83.65,84.04
13,226.48,176.13,131.07,104.84,87.12,83.62,85.55
14,226.82,175.65,130.2,105.29,86.45,83.34,84.4
15,221.09,175.18,131.02,105.04,88.2,83.48,85.58
16,221.77,175.22,130.81,104.38,87.04,83.5,86.4
17,1197.51,175.73,131.32,104.86,87.09,84.97,86.23
18,227.19,175.52,130.79,105.03,86.59,84.74,85.77
19,224.94,173.58,130.7,105.28,87.02,83.67,88.48
20,225.67,172.38,131.1,105.37,86.54,83.93,87.28
21,225.09,172.8,131.01,104.79,87.38,83.65,85.73
22,225.68,172.58,131.13,104.82,87.38,83.4,86.1
23,228.28,172.55,131.83,104.64,87.35,83.85,86.73
24,224.68,172.61,131.78,105.06,86.65,84.47,86.63
25,224.72,172.92,131.23,105.02,86.5,83.9,86.67
26,226.12,172.61,130.82,105.08,87.06,84.14,87.12
27,229.63,172.42,131.26,105.95,87.26,83.57,87.44
28,225.54,172.83,130.74,104.81,87.45,83.91,86.85
29,235.8,172.64,131.58,104.63,86.59,83.64,88.15
30,225.64,172.59,131.14,104.68,86.68,84.08,85.35
31,226.82,173.75,130.97,104.57,87.21,83.85,88.35
32,239.51,173.24,131.32,105.01,87.03,84.6,85.59
33,234.65,171.98,132.39,104.85,88.07,83.92,88.93
34,304.98,172.81,129.69,105.32,86.96,83.64,85.23
35,248.46,172.65,127.08,105.59,86.75,83.97,85.3
36,230.12,172.56,127.46,104.92,86.84,83.97,85.17
37,259.78,172.69,127.44,105.19,86.65,84.13,85.67
38,226.05,172.22,129.46,105.65,86.9,83.82,87.14
39,227.0,173.22,128.12,104.71,88.18,83.89,88.55
40,225.25,172.46,127.91,104.91,87.48,83.66,85.74
41,224.92,173.2,127.87,105.0,86.86,83.83,85.92
42,227.34,172.75,128.07,105.14,86.79,83.91,85.38
43,225.32,172.39,128.16,105.29,87.11,83.7,86.36
44,220.91,173.61,128.09,104.93,86.81,84.0,86.27
45,221.04,172.32,128.17,105.71,86.67,83.92,85.93
46,221.04,172.39,129.03,104.79,88.0,83.69,86.07
47,221.65,172.34,128.37,105.17,86.84,83.74,86.17
48,221.66,173.45,127.67,104.83,87.23,84.11,86.11
49,220.9,173.73,127.27,105.47,86.88,83.91,85.44
50,220.16,172.92,127.76,105.23,87.33,83.6,85.8
51,219.73,173.67,127.68,105.79,87.18,950.54,85.07
52,219.92,173.2,127.41,105.98,87.07,83.65,84.42
53,219.63,173.2,127.53,106.52,87.41,83.97,84.51
54,218.78,173.22,126.93,106.23,88.08,83.72,85.89
55,218.97,173.18,127.83,105.78,86.82,83.91,86.34
56,219.77,172.91,127.84,105.74,87.12,84.05,86.72
57,218.62,174.89,129.38,106.25,88.4,83.71,84.17
58,219.38,172.53,127.15,106.33,87.01,84.09,85.89
59,218.95,173.53,127.53,106.81,86.95,84.01,87.7
60,218.2,172.71,127.93,107.63,88.13,83.89,85.85
61,219.79,172.73,128.47,105.92,86.87,84.02,85.1
62,218.62,176.69,127.3,106.11,87.16,83.91,86.17
63,219.08,176.07,127.3,107.08,87.88,84.0,86.72
64,218.14,175.67,127.46,105.74,87.86,83.82,88.9
65,217.8,171.75,128.22,105.87,86.94,84.18,87.43
66,219.71,172.06,127.85,105.67,88.28,83.7,84.8
67,218.53,171.47,127.4,105.77,87.75,84.25,85.63
68,218.35,171.95,127.85,979.28,86.68,83.66,85.25
69,219.22,172.05,127.37,105.63,88.31,83.56,84.76
70,219.53,171.72,128.16,106.81,87.19,83.72,87.55
71,220.04,172.2,127.94,106.03,86.58,84.43,83.87
72,218.51,172.75,127.45,105.62,87.02,84.11,86.04
73,219.55,171.51,127.89,105.54,87.3,83.97,84.8
74,218.99,171.77,127.26,105.81,86.69,84.05,88.51
75,219.92,170.73,128.26,105.87,86.92,83.88,86.08
76,218.25,172.3,129.06,106.14,87.23,83.53,86.13
77,221.02,171.79,129.6,106.83,86.43,83.82,84.18
78,218.27,171.53,128.89,105.69,87.08,83.3,85.95
79,220.52,171.99,127.81,105.68,87.73,83.76,86.68
80,220.44,171.48,129.35,105.89,86.24,83.92,85.31
81,219.5,171.03,127.32,105.94,87.09,84.34,85.31
82,220.9,171.44,130.22,105.94,87.13,84.22,87.16
83,218.73,171.31,131.05,105.59,86.9,83.88,84.81
84,219.7,172.52,131.17,106.18,87.4,83.75,85.2
85,219.39,171.58,130.94,106.07,86.81,83.58,86.96
86,218.84,172.07,131.37,105.72,86.94,84.35,88.12
87,219.97,171.44,131.07,106.36,86.81,84.13,85.43
88,214.01,171.41,131.17,105.66,87.29,84.11,85.0
89,212.07,172.84,130.71,105.43,86.48,83.77,85.41
90,213.27,171.65,131.31,105.79,87.07,83.63,85.97
91,211.69,171.14,131.34,106.17,87.08,83.58,86.08
92,212.17,171.07,132.33,106.37,86.97,84.13,84.8
93,211.38,171.4,130.62,106.27,87.13,84.42,84.92
94,212.89,171.95,131.3,105.84,87.07,84.03,85.72
95,211.35,172.58,131.03,105.9,87.07,84.05,84.5
96,212.13,177.2,131.34,106.11,86.99,83.86,89.43
97,212.41,175.43,130.48,106.09,86.91,83.52,85.14
98,212.59,176.61,131.77,106.98,87.49,84.0,90.17
99,212.03,176.35,131.37,106.58,87.18,83.37,90.24
100,212.21,176.14,130.97,106.46,87.7,87.66,90.57
101,212.26,175.87,130.76,106.77,86.4,84.09,90.36
102,211.79,175.63,131.78,105.72,86.58,84.2,90.7
103,212.5,176.49,130.67,105.96,86.95,83.88,87.25
104,211.8,175.63,131.01,105.52,86.93,83.57,85.55
105,212.34,176.34,130.28,105.89,86.91,83.8,87.0
106,212.93,176.22,130.6,106.44,87.43,83.99,86.14
107,211.27,176.85,130.68,106.4,87.32,84.12,85.74
108,213.14,175.35,130.92,105.77,86.81,84.14,84.33
109,211.82,176.55,130.84,105.75,86.79,84.17,85.58
110,219.78,176.17,130.77,106.1,87.05,84.09,85.43
111,221.73,175.96,131.4,106.52,86.76,83.68,85.32
112,221.81,177.03,131.12,106.47,86.96,83.83,85.8
113,222.18,175.87,131.03,105.89,86.75,83.75,89.79
114,222.34,175.91,131.33,106.94,87.04,84.97,85.73
115,222.68,176.7,130.79,106.12,87.13,84.04,89.99
116,222.53,175.78,131.04,106.78,87.1,84.18,85.74
117,222.44,176.2,130.91,106.08,87.2,83.71,88.35
118,221.07,176.23,131.41,106.59,87.18,83.77,89.99
119,222.57,176.75,131.03,106.19,86.95,83.77,88.36
120,222.44,175.6,130.68,105.6,87.02,83.77,86.41
121,221.41,175.93,130.81,106.22,87.34,84.27,85.1
122,222.43,176.38,131.11,106.66,87.86,84.68,86.45
123,221.25,175.89,133.13,106.02,87.2,84.1,86.35
124,222.81,175.96,130.64,105.93,87.15,84.18,85.85
125,221.98,176.62,130.81,105.92,86.97,83.92,85.55
126,222.61,176.33,132.8,105.22,87.28,84.03,86.26
127,222.05,176.21,130.56,104.79,87.5,84.24,85.39
128,221.44,175.57,130.55,104.93,87.47,84.32,85.66
129,222.13,175.86,131.21,105.5,87.45,84.17,87.02
130,221.68,176.09,130.93,105.34,87.67,84.46,85.9
131,222.04,176.37,131.56,105.34,86.65,84.05,85.56
132,221.46,176.47,130.73,105.34,87.29,84.3,87.65
133,221.82,176.45,130.65,105.29,87.72,84.24,85.79
134,222.04,176.17,131.33,105.47,87.41,83.82,85.47
135,222.41,176.4,131.32,105.14,87.25,84.23,85.75
136,221.79,176.1,130.57,105.3,88.14,84.16,84.74
137,222.39,177.0,131.11,105.37,88.44,83.78,85.62
138,221.79,176.11,130.82,105.5,88.06,84.27,84.88
139,221.79,175.71,130.74,105.76,88.09,84.24,85.64
140,222.25,176.5,131.09,105.61,87.5,84.16,84.94
141,222.86,176.45,132.63,105.35,86.78,84.3,89.78
142,222.66,175.95,132.61,105.52,86.88,84.12,86.25
143,222.55,176.0,132.57,105.29,87.62,84.3,89.04
144,221.78,175.67,131.35,105.08,87.37,84.09,85.98
145,222.07,176.37,132.1,105.17,88.25,84.33,87.06
146,222.06,176.63,131.03,106.44,87.1,84.15,85.83
147,223.18,175.99,131.16,105.88,87.48,84.3,89.81
148,222.38,176.01,130.84,105.36,88.32,83.99,85.77
149,222.35,176.06,130.98,105.36,86.96,83.99,85.41
150,222.25,176.21,131.41,105.32,87.13,83.86,86.72
151,222.16,176.58,130.8,105.35,87.1,84.51,89.24
152,222.44,177.65,131.44,105.6,87.18,84.16,86.4
153,222.76,176.72,131.1,106.06,87.22,84.19,954.78
154,221.45,177.56,131.2,106.43,86.92,84.28,85.54
155,222.88,176.77,131.16,106.26,87.05,84.46,86.39
156,221.54,178.44,131.52,106.13,87.4,84.21,89.29
157,223.25,179.44,131.17,106.11,86.66,84.37,87.02
158,222.81,179.18,130.87,105.86,86.94,83.99,86.21
159,222.14,179.97,131.07,105.62,87.14,84.26,84.73
160,222.72,1117.77,132.87,106.65,86.98,83.75,85.9
