step,no_optimization,TF32,BF16,BF16+TC,BF16+TC+FA,BF16+TC+FA+FuOp
0,2304.72,2413.03,2560.14,64987.91,28737.13,19508.8
1,444.88,347.46,242.95,1099.27,1887.68,777.34
2,443.25,347.2,244.18,194.16,156.85,172.87
3,451.95,350.77,244.49,193.13,155.97,153.12
4,460.71,349.29,243.23,192.16,155.87,152.65
5,448.84,347.23,245.04,191.62,156.12,152.83
6,451.37,348.99,243.73,191.76,156.45,153.14
7,446.03,348.67,244.46,190.94,156.18,153.07
8,452.56,347.98,244.06,191.65,156.37,152.76
9,456.51,348.31,244.36,196.57,156.78,153.89
10,446.42,350.72,243.67,196.54,156.3,154.22
11,446.6,349.03,244.81,199.21,155.9,154.1
12,450.97,347.61,243.44,198.81,156.1,153.96
13,447.45,350.74,244.29,202.18,156.72,153.62
14,448.36,348.6,242.96,198.22,155.87,154.16
15,449.06,350.07,245.85,201.19,156.47,152.6
16,444.89,349.8,243.29,206.94,156.49,152.94
17,444.99,348.66,243.77,197.37,156.43,153.04
18,447.56,349.41,244.42,196.68,156.33,152.96
19,451.87,350.19,243.62,193.16,156.35,153.06
20,451.65,347.82,245.29,192.36,156.28,153.16
21,445.57,349.88,244.01,192.28,156.18,152.42
22,445.29,349.61,244.74,192.61,155.92,153.96
23,447.02,349.09,243.98,192.74,156.46,153.19
24,445.42,349.14,244.14,191.81,156.06,153.34
25,456.32,350.79,243.71,192.42,156.02,152.72
26,452.94,348.93,244.29,192.78,156.47,152.83
27,446.7,351.07,244.61,192.88,156.1,153.23
28,456.56,348.68,244.63,192.65,156.06,152.82
29,456.96,349.8,243.49,1131.94,156.54,152.94
30,449.38,350.12,245.71,192.77,156.47,153.03
31,448.77,350.8,243.58,191.87,156.41,153.75
32,445.13,348.98,243.47,192.49,156.47,152.66
33,456.03,350.93,244.45,192.83,156.1,153.09
34,449.74,351.1,243.56,192.63,156.44,153.14
35,450.22,347.53,244.61,192.46,156.36,152.86
36,449.47,351.24,244.01,192.54,156.09,153.0
37,445.91,350.46,244.57,192.26,156.17,152.85
38,441.58,349.59,244.4,192.41,156.09,152.55
39,447.94,348.21,244.59,192.8,156.63,153.36
40,449.82,350.13,243.81,191.93,155.73,153.32
41,443.67,349.05,244.49,192.75,156.09,153.78
42,450.48,350.37,244.32,192.21,156.14,152.98
43,447.86,349.01,244.89,192.83,156.3,153.0
44,455.79,349.69,244.23,192.71,155.8,152.78
45,445.1,348.79,244.84,192.63,156.1,153.51
46,449.18,351.66,244.79,192.07,156.77,152.57
47,449.82,348.49,243.17,193.12,156.25,956.18
48,449.71,349.38,245.38,192.5,156.5,153.31
49,453.58,349.18,243.81,193.12,155.91,152.8
50,456.18,349.94,245.21,192.08,156.21,153.18
51,450.05,349.46,244.18,191.53,156.0,152.82
52,450.64,350.61,244.45,192.59,156.36,153.11
53,450.63,349.6,243.83,192.59,157.1,153.29
54,453.66,350.07,245.44,192.47,156.55,153.4
55,446.14,350.62,248.26,192.52,156.57,154.25
56,451.95,348.41,246.26,192.38,156.69,153.69
57,450.96,349.51,244.56,192.24,156.16,153.52
58,450.32,350.36,244.44,192.82,156.64,153.89
59,445.54,347.59,244.16,192.23,156.56,153.13
60,452.5,349.3,245.34,193.02,157.02,153.44
61,445.41,348.99,244.87,191.79,156.2,153.45
62,448.89,348.66,244.66,192.2,156.54,154.07
63,450.45,350.03,245.66,192.45,156.73,153.6
64,445.85,1299.66,244.67,191.96,156.49,152.94
65,451.54,348.98,245.91,192.11,156.6,153.52
66,1395.71,350.59,245.02,192.35,157.2,153.34
67,454.11,349.25,245.33,192.06,156.47,153.07
68,452.26,348.8,244.39,191.6,156.48,152.17
69,449.24,349.02,245.56,192.7,157.26,153.07
70,457.37,349.89,244.22,192.53,157.19,152.52
71,446.41,349.96,245.16,192.74,156.29,152.29
72,454.26,349.95,245.37,191.91,156.23,152.83
73,448.08,350.79,245.22,192.29,156.78,152.15
74,450.55,349.26,243.55,193.33,156.08,153.33
75,452.18,350.08,245.27,192.29,156.35,152.08
76,454.7,350.01,244.06,192.11,156.32,152.79
77,456.97,348.91,244.77,192.88,156.74,151.93
78,446.56,349.6,245.43,192.16,156.45,152.85
79,451.3,349.85,243.7,192.4,156.49,152.52
80,450.12,348.97,244.72,192.52,156.71,152.44
81,450.09,351.1,245.17,192.09,156.42,152.16
82,450.71,349.87,245.53,192.55,156.57,152.54
83,457.97,348.45,244.47,192.08,156.44,153.06
84,448.19,350.53,246.13,192.13,156.77,152.38
85,452.73,349.54,243.76,192.4,156.86,152.55
86,446.63,349.87,244.83,192.8,156.03,152.57
87,445.81,349.99,245.36,192.84,156.82,152.58
88,449.9,348.86,245.25,192.82,156.61,152.4
89,449.69,349.41,244.62,192.07,156.52,152.45
90,452.81,350.4,245.07,192.14,156.69,152.26
91,456.57,349.13,245.68,192.04,156.51,152.21
92,450.23,350.85,244.57,191.59,156.25,152.42
93,450.15,350.86,245.97,191.4,156.88,152.54
94,448.76,351.74,243.92,191.19,156.24,152.04
95,446.62,349.56,244.92,191.52,156.2,152.67
96,446.85,351.23,244.09,192.16,156.3,152.46
97,456.08,350.46,245.49,191.53,156.83,152.53
98,444.58,350.62,244.12,191.65,156.76,152.23
99,447.04,352.1,245.31,192.24,156.28,152.58
